source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Gunnedah|Gunnedah 22kV|66/22/11,Gunnedah,Gunnedah 22kV,66/22/11,18/30,18/30,,30,30,,33,1,24.99,25.01,25.04,24.98,25.03,13.03,0,36,0.998,21.95,21.95,21.92,21.93,21.93,13.03,0,7.969999999999999,14.07
zone_substation|Gunnedah|Keepit Dam|66/11,Gunnedah,Keepit Dam,66/11,1,,,1,,,0,0.946,0.26,0.26,0.27,0.27,0.28,0.05,4,0,0.989,0.15,0.15,0.15,0.15,0.15,0.05,2,-0.28,-0.15
zone_substation|Harden - Murrumburrah|Boorowa|66/11,Harden - Murrumburrah,Boorowa,66/11,8,5,,8,5,,5.5,0.991,3.35,3.38,3.42,3.46,3.5,3.22,1.5,6,0.994,3.75,3.77,3.79,3.81,3.82,3.22,5,2.0,2.18
zone_substation|Harden - Murrumburrah|Cootamundra|66/11,Harden - Murrumburrah,Cootamundra,66/11,15/19,15/19,,19,19,,20.9,0.994,11.77,11.79,11.84,11.85,11.86,8,6,22.8,0.982,12.18,12.55,12.87,13.19,13.52,8,4.5,9.04,9.280000000000001
zone_substation|Harden - Murrumburrah|Jugiong|66/11,Harden - Murrumburrah,Jugiong,66/11,5.9/6.5,5.9/6.5,,6.5,6.5,,7.15,0.962,1.71,1.72,1.73,1.75,1.76,0.41,12,7.8,0.978,1.34,1.34,1.34,1.34,1.34,0.41,3.5,5.390000000000001,6.46
zone_substation|Harden - Murrumburrah|Murrumburrah|66/11,Harden - Murrumburrah,Murrumburrah,66/11,8/10,8/10,,10,10,,11,0.988,4.58,4.64,4.71,4.78,4.85,3.99,4,12,0.999,4.77,4.79,4.8,4.82,4.84,3.99,6.5,6.15,7.16
zone_substation|Harden - Murrumburrah|Young|66/11,Harden - Murrumburrah,Young,66/11,24/30,18/30,,30,30,,33,1,17.38,17.45,17.47,17.5,17.55,11.03,4.5,36,0.998,17.57,17.76,17.93,18.08,18.24,11.03,10.5,15.45,17.76
zone_substation|Hawks Nest|Hawks Nest 132/33kV|132/33,Hawks Nest,Hawks Nest 132/33kV,132/33,50,,,50,,,0,1,8.45,8.47,8.46,8.46,8.45,0,1,0,0.969,8.73,8.81,8.87,8.92,8.96,0,2,-8.45,-8.96
zone_substation|Hawks Nest|Tea Gardens|33/11,Hawks Nest,Tea Gardens,33/11,10/16,10/16,,16,16,,17.6,0.998,8.54,8.56,8.54,8.58,8.57,7.75,1,19.2,1,8.15,8.14,8.14,8.15,8.15,7.75,2,9.030000000000001,11.049999999999999
zone_substation|Herons Creek|Herons Creek|132/66,Herons Creek,Herons Creek,132/66,60,,,60,,,0,0.994,13,13.13,13.23,13.38,13.45,0,0.5,0,1,11.69,11.71,11.74,11.78,11.82,0,1,-13.45,-11.82
zone_substation|Herons Creek|Johns River|66/11,Herons Creek,Johns River,66/11,3,,,3,,,0,0.985,0.91,0.9,0.89,0.88,0.87,1.06,0.5,0,0.973,0.97,0.98,0.98,0.99,0.99,1.06,2.5,-0.87,-0.99
zone_substation|Herons Creek|Kew|66/11,Herons Creek,Kew,66/11,3/4,8,,4,8,,4.4,1,3.45,3.48,3.52,3.56,3.59,4.15,1.5,4.8,1,3.84,3.89,3.92,3.97,4,4.15,2,0.8100000000000005,0.7999999999999998
"zone_substation|Herons Creek|Laurieton|33/11, 66/11",Herons Creek,Laurieton,"33/11, 66/11",15/20,15/20,,20,20,,22,0.999,6.75,6.7,6.64,6.6,6.55,8.69,1,24,1,7.54,7.47,7.41,7.35,7.29,8.69,8,15.45,16.71
zone_substation|Inverell|Ashford|66/22,Inverell,Ashford,66/22,3,,,3,,,0,0.958,0.7,0.69,0.69,0.68,0.67,0.86,1,0,0.95,0.61,0.61,0.61,0.61,0.61,0.86,10,-0.67,-0.61
zone_substation|Inverell|Bingara|66/22,Inverell,Bingara,66/22,3,7.5,,3,7.5,,3.3,0.967,2.5,2.53,2.57,2.6,2.64,2.15,2,3.6,0.94,2.45,2.46,2.46,2.47,2.48,2.15,4.5,0.6599999999999997,1.12
zone_substation|Inverell|Borthwick St|66/22,Inverell,Borthwick St,66/22,20/30,15/30,,30,30,,33,1,20.47,20.42,20.42,20.38,20.46,15.31,2.5,36,1,23.16,23.38,23.6,23.73,23.91,15.31,2.5,12.54,12.09
zone_substation|Inverell|Bundarra|66/22,Inverell,Bundarra,66/22,3,,,3,,,0,0.777,1.04,1.04,1.04,1.04,1.04,0.82,3,0,0.792,1.15,1.15,1.16,1.17,1.17,0.82,9,-1.04,-1.17
zone_substation|Inverell|Copeton|66/22,Inverell,Copeton,66/22,3,1.5,,3,1.5,,1.65,1,0.84,0.84,0.84,0.84,0.85,0,9,1.8,0.997,0.94,0.97,0.99,1.02,1.05,0,0.5,0.7999999999999999,0.75
zone_substation|Inverell|Texas 66/22kV|66/22,Inverell,Texas 66/22kV,66/22,5,5,,5,5,,5.5,0.976,3.39,3.43,3.45,3.49,3.51,1.42,6.5,6,1,2.33,2.35,2.36,2.38,2.39,1.42,7,1.9900000000000002,3.61
zone_substation|Inverell|Texas 66/33kV|66/33,Inverell,Texas 66/33kV,66/33,7.5,5,,7.5,5,,5.5,0.978,2.37,2.42,2.46,2.5,2.54,0.59,0.5,6,0.994,1.83,1.86,1.89,1.92,1.95,0.59,0.5,2.96,4.05
zone_substation|Inverell|Wallangra|66/22,Inverell,Wallangra,66/22,1,,,1,,,0,0.909,0.19,0.19,0.19,0.19,0.19,0.12,3,0,0.843,0.22,0.22,0.23,0.23,0.23,0.12,0.5,-0.19,-0.23
zone_substation|Inverell|Warialda|66/22,Inverell,Warialda,66/22,4,8,,4,8,,4.4,0.996,2.8,2.79,2.77,2.76,2.75,2.46,6,4.8,0.985,3.06,3.09,3.11,3.13,3.16,2.46,0.5,1.6500000000000004,1.6399999999999997
zone_substation|Inverell|Yallaroi|66/22,Inverell,Yallaroi,66/22,3/4,,,4,,,0,0.95,2.19,2.21,2.22,2.23,2.25,0.95,6,0,0.95,1.87,1.89,1.91,1.93,1.94,0.95,4,-2.25,-1.94
